X,R1_open Y,R1_short Y,R2_open Y,R2_short Y,R3_open Y,R3_short Y,M1_G-S_short Y,M1_open Y,M1_G-D_short Y,M1_D-S_short Y,M2_D-S_short Y,M2_G-D_short Y,M2_G-S_short Y,M2_open Y,M3_open Y,M3_D-S_short Y,M3_G-D_short Y,M3_G-S_short Y
-1.533,-0.83907,0.606469983340889,0.99992,-0.83907,-31.48214490008185,0.9999999999999993,0.551184703019544,0.606469983340889,-0.85719522752508,-0.83907,0.99992,-0.7731183999169555,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999969,0.99992
-1.532,-0.83907,0.606469983351756,0.99992,-0.83907,-31.482144900082886,0.9999999999999993,0.5512120745390803,0.606469983351756,-0.857194137534435,-0.83907,0.99992,-0.7731182040190666,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999968,0.99992
-1.531,-0.83907,0.6064699833626229,0.99992,-0.83907,-31.482144900083938,0.9999999999999993,0.5512394437107275,0.6064699833626229,-0.857193040746743,-0.83907,0.99992,-0.7731180076480528,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999967,0.99992
-1.53,-0.83907,0.60646998337349,0.99992,-0.83907,-31.482144900085004,0.9999999999999993,0.5512668105346279,0.60646998337349,-0.8571919371196287,-0.83907,0.99992,-0.7731178108027834,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999966,0.99992
-1.529,-0.83907,0.606469983384357,0.99992,-0.83907,-31.48214490008608,0.9999999999999993,0.5512941750110372,0.606469983384357,-0.8571908266104529,-0.83907,0.99992,-0.7731176134821246,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999966,0.99992
-1.528,-0.83907,0.606469983395224,0.99992,-0.83907,-31.482144900087174,0.9999999999999993,0.5513215371401543,0.606469983395224,-0.8571897091763102,-0.83907,0.99992,-0.7731174156849403,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999965,0.99992
-1.527,-0.83907,0.6064699834060909,0.99992,-0.83907,-31.48214490008828,0.9999999999999993,0.5513488969221498,0.6064699834060909,-0.8571885847740284,-0.83907,0.99992,-0.7731172174100915,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999965,0.99992
-1.526,-0.83907,0.6064699834169579,0.99992,-0.83907,-31.4821449000894,0.9999999999999993,0.5513762543572227,0.6064699834169579,-0.857187453360166,-0.83907,0.99992,-0.7731170186564368,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999964,0.99992
-1.525,-0.83907,0.606469983427825,0.99992,-0.83907,-31.482144900090532,0.9999999999999993,0.5514036094456287,0.606469983427825,-0.8571863148910109,-0.83907,0.99992,-0.7731168194228318,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999964,0.99992
-1.524,-0.83907,0.606469983438692,0.99992,-0.83907,-31.48214490009168,0.9999999999999993,0.5514309621874816,0.606469983438692,-0.8571851693225786,-0.83907,0.99992,-0.7731166197081296,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999963,0.99992
